0.21;5.09;11.08
0.72;3.59;8.76
-0.08;2.66;6.77
1.30;3.45;11.39
-1.00;1.61;11.40
-0.86;2.22;8.20
0.40;2.80;8.87
1.63;3.16;9.58
0.35;2.23;9.08
0.96;2.74;11.88
-1.32;1.95;9.15
-0.79;3.06;10.83
0.46;1.63;11.90
1.04;2.22;7.96
0.24;2.92;11.05
0.07;1.91;9.71
-0.67;2.64;8.47
0.29;3.28;9.12
0.88;2.97;8.21
1.60;2.43;7.86
-0.20;2.45;11.99
-0.03;1.65;8.62
1.55;3.64;10.45
-0.03;1.34;8.31
1.03;2.51;7.94
0.53;2.03;11.29
1.76;2.37;8.56
0.68;2.27;8.44
1.21;1.57;10.73
2.02;2.92;6.32
2.00;3.81;8.25
0.79;1.88;13.40
1.21;2.54;7.41
1.29;2.39;12.70
1.81;1.64;8.26
1.05;2.71;7.17
0.53;2.13;11.45
1.35;1.52;8.59
0.42;2.60;8.02
2.70;2.83;11.54
2.29;2.78;7.77
0.81;3.77;8.14
0.14;2.01;14.42
0.81;2.54;7.04
0.88;3.16;10.02
1.12;2.75;9.54
0.49;2.48;6.72
-0.44;3.42;11.14
0.21;1.85;9.21
-0.25;2.43;7.71
2.06;2.12;10.36
1.37;2.38;7.96
1.02;3.06;9.66
0.23;1.67;12.96
0.92;2.30;8.61
0.47;2.78;11.47
2.44;2.42;11.63
0.48;2.32;6.91
-0.11;2.96;12.90
0.37;1.52;8.14
-0.63;2.51;6.62
1.47;1.92;12.25
2.26;2.28;8.46
0.65;2.46;8.83
-0.52;2.23;10.10
1.66;1.40;7.61
0.56;2.01;8.82
2.22;1.52;13.94
1.46;1.95;7.20
0.78;2.60;10.05
0.52;1.55;10.07
0.75;1.95;7.03
0.91;1.63;12.42
2.85;2.25;7.77
0.26;2.20;8.72
1.46;2.30;11.74
0.90;1.95;8.66
0.93;3.03;7.92
2.43;2.17;10.43
1.27;2.47;9.50
1.78;3.52;10.23
0.85;1.60;12.09
0.86;2.43;7.64
1.71;2.10;11.94
1.78;1.37;10.64
0.79;2.16;6.78
0.83;3.03;12.72
0.22;1.17;8.59
0.45;2.78;6.04
1.99;2.32;10.58
0.66;1.70;7.79
1.75;2.75;8.32
-0.16;1.41;14.29
0.84;2.12;6.78
1.06;2.26;9.79
0.73;2.32;10.00
0.37;1.66;5.81
0.30;3.31;12.84
-0.31;1.70;6.76
-0.84;1.55;6.92
0.08;1.74;10.51
1.97;2.70;6.82
0.58;2.22;7.72
0.78;2.60;13.54
0.80;2.02;8.21
-0.01;2.53;6.67
0.51;2.32;11.05
1.46;2.21;5.85
1.22;2.70;7.20
0.74;2.27;11.93
2.59;3.21;8.45
0.67;2.82;8.81
1.88;2.25;11.20
1.10;2.24;7.93
0.60;2.71;9.98
0.80;1.52;15.16
1.74;2.66;9.25
0.59;3.05;7.21
1.57;2.68;11.32
1.15;2.27;9.63
1.47;2.37;8.78
0.56;2.58;9.72
0.99;2.20;8.57
-0.86;1.68;8.32
0.95;2.12;9.56
2.11;2.16;8.48
1.22;1.95;8.75
0.83;1.71;10.98
0.78;2.32;10.66
0.18;2.58;10.00
0.21;2.26;9.41
0.77;3.10;9.64
-1.38;4.34;5.75
