1556365940295;-0.21;4.15;9.27
1556365940322;-0.22;4.13;9.34
1556365940325;-0.23;4.12;9.30
1556365940327;-0.22;4.10;9.21
1556365940345;-0.21;4.07;9.11
1556365940349;-0.18;4.04;9.03
1556365940352;-0.17;4.00;9.02
1556365940370;-0.21;3.98;9.07
1556365940372;-0.26;3.99;9.14
1556365940385;-0.33;4.00;9.20
1556365940400;-0.38;3.99;9.26
1556365940406;-0.39;4.00;9.30
1556365940420;-0.38;4.04;9.31
1556365940422;-0.39;4.10;9.32
1556365940437;-0.36;4.11;9.34
1556365940442;-0.34;4.09;9.35
1556365940455;-0.32;4.07;9.36
1556365940469;-0.31;4.08;9.37
1556365940471;-0.30;4.09;9.36
1556365940486;-0.31;4.10;9.33
1556365940490;-0.33;4.06;9.29
1556365940502;-0.32;4.03;9.23
1556365940519;-0.31;4.02;9.18
1556365940521;-0.30;4.03;9.17
1556365940536;-0.29;4.02;9.17
1556365940540;-0.28;4.03;9.22
1556365940554;-0.31;4.02;9.28
1556365940570;-0.30;4.01;9.31
1556365940572;-0.29;4.02;9.30
1556365940587;-0.28;4.03;9.27
1556365940590;-0.25;4.04;9.20
1556365940604;-0.21;4.03;9.19
1556365940611;-0.20;4.07;9.22
1556365940622;-0.28;4.08;9.25
1556365940637;-0.30;4.05;9.27
1556365940641;-0.31;4.04;9.28
1556365940655;-0.32;4.05;9.25
1556365940661;-0.31;4.06;9.24
1556365940672;-0.32;4.08;9.23
1556365940688;-0.31;4.07;9.22
1556365940691;-0.34;4.08;9.23
1556365940706;-0.34;4.06;9.24
1556365940711;-0.34;4.03;9.26
1556365940722;-0.33;4.00;9.27
1556365940739;-0.31;3.99;9.28
1556365940741;-0.30;4.01;9.29
1556365940758;-0.29;4.02;9.30
1556365940761;-0.31;4.03;9.31
1556365940773;-0.33;4.01;9.32
1556365940790;-0.34;4.02;9.31
1556365940792;-0.34;4.03;9.27
1556365940807;-0.34;4.01;9.21
1556365940812;-0.33;4.00;9.17
1556365940823;-0.31;4.01;9.15
1556365940840;-0.30;4.02;9.16
1556365940842;-0.29;4.03;9.17
1556365940857;-0.28;4.02;9.18
1556365940861;-0.29;4.03;9.19
1556365940875;-0.28;4.04;9.21
1556365940891;-0.27;4.05;9.25
1556365940893;-0.25;4.07;9.30
1556365940908;-0.24;4.08;9.33
1556365940913;-0.28;4.09;9.35
1556365940925;-0.31;4.10;9.34
1556365940931;-0.32;4.09;9.31
1556365940943;-0.31;4.07;9.28
1556365940959;-0.30;4.04;9.26
1556365940962;-0.29;4.03;9.27
1556365940975;-0.28;4.04;9.31
1556365940982;-0.30;4.03;9.38
1556365940993;-0.31;3.99;9.37
1556365941009;-0.34;4.00;9.33
1556365941015;-0.33;4.01;9.28
1556365941027;-0.30;4.03;9.24
1556365941032;-0.27;4.04;9.20
1556365941043;-0.24;4.02;9.19
1556365941060;-0.22;4.01;9.20
1556365941062;-0.21;4.02;9.22
1556365941077;-0.23;4.03;9.24
1556365941082;-0.25;4.04;9.25
1556365941093;-0.28;4.05;9.26
1556365941112;-0.31;4.04;9.27
1556365941117;-0.33;4.03;9.25
1556365941128;-0.32;4.02;9.26
1556365941132;-0.31;4.03;9.28
1556365941144;-0.30;4.01;9.32
1556365941161;-0.31;4.02;9.33
1556365941163;-0.34;4.00;9.32
1556365941178;-0.35;4.01;9.33
1556365941182;-0.36;3.99;9.31
