1556365968689;-0.30;4.54;7.74
1556365968699;-0.52;5.21;8.08
1556365968733;-0.51;5.26;8.09
1556365968743;-0.50;5.36;8.10
1556365968747;-0.49;5.49;8.04
1556365968749;-0.50;5.61;7.95
1556365968750;-0.47;5.76;7.85
1556365968767;-0.45;5.89;7.78
1556365968770;-0.47;6.00;7.77
1556365968787;-0.51;6.06;7.81
1556365968790;-0.53;6.10;7.89
1556365968808;-0.50;6.12;7.99
1556365968813;-0.39;6.14;8.08
1556365968827;-0.26;6.16;8.21
1556365968829;-0.13;6.15;8.36
1556365968842;-0.01;6.12;8.49
1556365968846;0.06;6.09;8.59
1556365968867;0.07;6.03;8.62
1556365968869;0.03;5.96;8.63
1556365968882;0.02;5.87;8.64
1556365968885;0.05;5.76;8.66
1556365968902;0.10;5.66;8.69
1556365968906;0.14;5.61;8.71
1556365968918;0.18;5.62;8.71
1556365968935;0.21;5.58;8.65
1556365968937;0.22;5.46;8.61
1556365968953;0.23;5.23;8.71
1556365968956;0.28;4.92;8.98
1556365968969;0.41;4.60;9.38
1556365968985;0.60;4.35;9.82
1556365968987;0.84;4.17;10.29
1556365969003;1.02;4.01;10.70
1556365969006;1.03;3.83;11.01
1556365969019;0.95;3.59;11.29
1556365969025;0.80;3.34;12.15
1556365969039;0.69;2.89;11.93
1556365969054;0.64;2.65;12.21
1556365969056;0.71;2.40;12.57
1556365969071;0.85;2.10;12.99
1556365969076;1.00;1.74;13.44
1556365969087;1.10;1.41;13.92
1556365969104;1.15;1.06;14.40
1556365969107;1.09;0.75;14.81
1556365969121;0.92;0.56;15.07
1556365969126;0.71;0.46;15.23
1556365969137;0.57;0.42;15.33
1556365969154;0.48;0.43;15.38
1556365969157;0.42;0.49;15.30
1556365969171;0.35;0.60;15.13
1556365969176;0.29;0.73;14.87
1556365969188;0.20;0.85;14.54
1556365969206;0.12;0.97;14.16
1556365969209;0.08;1.06;13.81
1556365969221;0.06;1.13;13.53
1556365969227;0.08;1.22;13.31
1556365969239;0.11;1.31;13.13
1556365969256;0.14;1.36;12.96
1556365969258;0.18;1.38;12.82
1556365969273;0.20;1.43;12.71
1556365969277;0.21;1.50;12.56
1556365969289;0.20;1.56;12.46
1556365969307;0.18;1.57;12.36
1556365969310;0.15;1.61;12.24
1556365969323;0.11;1.66;12.09
1556365969327;0.07;1.67;11.92
1556365969341;0.03;1.60;11.80
1556365969358;0.04;1.56;11.74
1556365969360;0.05;1.62;11.58
1556365969375;0.06;1.60;11.29
1556365969377;0.11;1.50;10.99
1556365969392;0.12;1.44;10.74
1556365969397;0.09;1.40;9.94
1556365969411;0.11;1.39;10.29
1556365969425;0.15;1.38;10.21
1556365969429;0.39;1.36;10.13
1556365969442;0.56;1.39;9.98
1556365969447;0.71;1.43;9.71
1556365969458;0.81;1.47;9.31
1556365969476;0.83;1.49;8.87
1556365969478;0.78;1.51;8.43
1556365969492;0.67;1.54;8.00
1556365969498;0.55;1.61;7.60
1556365969509;0.45;1.67;7.29
1556365969526;0.37;1.70;7.06
1556365969530;0.34;1.72;6.93
1556365969542;0.33;1.74;6.89
1556365969548;0.36;1.73;6.86
1556365969559;0.43;1.71;6.83
1556365969577;0.51;1.72;6.78
1556365969579;0.56;1.75;6.79
