1556365999380;0.74;3.65;7.75
1556365999388;-0.41;4.04;9.61
1556365999390;-0.44;4.03;9.64
1556365999416;-0.49;3.98;9.71
1556365999419;-0.47;3.91;9.74
1556365999435;-0.37;3.82;9.70
1556365999437;-0.25;3.64;9.66
1556365999439;-0.19;3.65;9.67
1556365999453;-0.18;3.60;9.68
1556365999457;-0.25;3.61;9.66
1556365999477;-0.28;3.66;9.60
1556365999480;-0.25;3.73;9.12
1556365999495;-0.18;3.79;9.13
1556365999502;-0.10;3.83;8.81
1556365999510;0.00;3.84;8.28
1556365999536;0.08;3.87;8.07
1556365999539;0.15;3.93;7.95
1556365999541;0.19;3.94;7.96
1556365999555;0.20;4.06;8.11
1556365999558;0.21;4.07;8.39
1556365999570;0.18;4.16;8.74
1556365999576;0.11;4.19;9.13
1556365999595;0.06;4.21;9.46
1556365999597;0.00;4.27;9.76
1556365999611;-0.11;4.34;10.04
1556365999616;-0.23;4.37;10.31
1556365999630;-0.28;4.39;10.55
1556365999645;-0.24;4.40;10.69
1556365999647;-0.11;4.41;10.70
1556365999661;0.07;4.42;10.62
1556365999666;0.26;4.44;10.51
1556365999678;0.42;4.46;10.41
1556365999696;0.49;4.51;10.35
1556365999698;0.48;4.60;10.37
1556365999713;0.45;4.74;10.52
1556365999716;0.43;4.91;10.77
1556365999729;0.44;5.03;11.06
1556365999736;0.45;5.04;11.37
1556365999748;0.40;4.93;11.65
1556365999763;0.33;4.80;11.87
1556365999766;0.21;4.70;11.98
1556365999779;0.10;4.69;11.99
1556365999786;0.00;4.73;11.89
1556365999798;-0.07;4.71;11.77
1556365999814;-0.16;4.59;11.67
1556365999816;-0.34;4.32;11.73
1556365999830;-0.56;3.97;11.95
1556365999836;-0.79;3.62;12.30
1556365999848;-1.00;3.28;12.71
1556365999864;-1.14;2.97;13.07
1556365999866;-1.18;2.66;13.27
1556365999881;-1.19;2.35;13.30
1556365999886;-1.17;2.02;13.10
1556365999898;-1.10;1.78;12.59
1556365999916;-1.04;1.66;11.87
1556365999919;-1.11;1.72;10.12
1556365999933;-1.10;1.91;9.36
1556365999937;-1.42;2.14;8.75
1556365999950;-1.66;2.42;8.32
1556365999966;-1.95;2.74;8.07
1556365999968;-2.25;3.02;7.88
1556365999983;-2.51;3.22;7.72
1556365999988;-2.70;3.33;7.58
1556365999999;-2.78;3.40;7.50
1556366000016;-2.73;3.41;7.49
1556366000019;-2.55;3.35;7.58
1556366000033;-2.28;3.21;7.74
1556366000038;-1.99;3.01;7.93
1556366000050;-1.73;2.83;8.06
1556366000067;-1.55;2.74;8.13
1556366000069;-1.43;2.72;8.14
1556366000084;-1.35;2.75;8.05
1556366000088;-1.26;2.82;7.83
1556366000101;-1.14;2.88;7.52
1556366000118;-0.97;2.93;7.23
1556366000121;-0.74;2.96;7.01
1556366000134;-0.50;2.95;6.96
1556366000138;-0.31;2.90;7.05
1556366000151;-0.22;2.88;7.22
1556366000168;-0.21;2.91;7.40
1556366000170;-0.26;2.99;7.55
1556366000185;-0.28;3.07;7.58
1556366000189;-0.30;3.20;7.52
1556366000203;-0.34;3.34;7.44
1556366000219;-0.38;3.46;7.40
1556366000222;-0.41;3.54;7.43
1556366000236;-0.40;3.61;7.57
1556366000239;-0.41;3.66;7.81
1556366000253;-0.43;3.69;8.06
1556366000259;-0.48;3.73;8.30
