1556365963530;-0.57;3.48;8.06
1556365963537;-0.57;3.49;8.07
1556365963558;-0.70;2.99;7.68
1556365963561;-0.67;2.94;7.63
1556365963566;-0.60;2.80;7.15
1556365963584;-0.53;2.63;7.16
1556365963587;-0.49;2.50;6.80
1556365963609;-0.57;2.27;6.19
1556365963613;-0.56;2.21;5.96
1556365963615;-0.62;2.22;5.78
1556365963630;-0.60;2.24;5.66
1556365963637;-0.50;2.27;5.56
1556365963654;-0.37;2.28;5.55
1556365963657;-0.28;2.29;5.63
1556365963672;-0.16;2.32;5.75
1556365963674;-0.03;2.35;5.82
1556365963690;0.11;2.37;5.86
1556365963705;0.18;2.32;5.88
1556365963708;0.17;2.21;5.94
1556365963723;0.19;2.16;6.13
1556365963726;0.25;2.15;6.35
1556365963741;0.34;2.11;6.49
1556365963747;0.41;2.02;6.66
1556365963759;0.46;2.00;6.90
1556365963775;0.49;2.11;7.23
1556365963778;0.57;2.09;7.52
1556365963792;0.73;1.83;7.76
1556365963795;0.84;1.63;7.98
1556365963808;0.83;1.66;8.14
1556365963828;0.67;1.85;8.28
1556365963831;0.56;1.86;8.49
1556365963843;0.57;1.64;8.78
1556365963848;0.53;1.59;9.10
1556365963861;0.42;1.72;9.45
1556365963875;0.28;1.82;9.46
1556365963877;0.16;1.77;10.36
1556365963891;0.08;1.63;10.85
1556365963894;0.03;1.47;11.34
1556365963907;-0.03;1.41;11.71
1556365963924;-0.08;1.32;11.88
1556365963926;-0.01;1.19;11.98
1556365963940;0.10;1.12;12.04
1556365963944;0.19;1.14;11.88
1556365963960;0.34;1.17;11.52
1556365963964;0.53;1.16;11.18
1556365963977;0.69;1.11;11.19
1556365963993;0.80;1.10;11.56
1556365963995;0.88;1.26;12.37
1556365964008;0.92;1.27;12.57
1556365964015;0.87;1.23;12.71
1556365964027;0.79;1.24;12.81
1556365964042;0.72;1.26;12.85
1556365964045;0.62;1.25;12.81
1556365964059;0.49;1.24;12.86
1556365964065;0.31;1.25;13.15
1556365964077;0.12;1.29;13.62
1556365964093;0.02;1.31;14.13
1556365964095;0.03;1.32;14.60
1556365964109;0.13;1.37;14.92
1556365964115;0.22;1.48;15.05
1556365964128;0.24;1.66;15.06
1556365964144;0.25;1.86;15.07
1556365964148;0.28;2.07;15.05
1556365964161;0.34;2.32;15.00
1556365964166;0.42;2.60;14.97
1556365964177;0.47;2.97;14.99
1556365964195;0.50;3.38;15.01
1556365964197;0.56;3.76;14.79
1556365964212;0.63;4.09;14.26
1556365964215;0.64;4.38;13.50
1556365964228;0.51;4.65;12.72
1556365964245;0.29;4.88;11.99
1556365964250;0.02;5.04;11.30
1556365964261;-0.21;5.09;10.66
1556365964265;-0.33;5.03;10.06
1556365964279;-0.40;4.85;9.46
1556365964296;-0.51;4.60;8.99
1556365964298;-0.62;4.30;8.71
1556365964312;-0.72;3.97;8.58
1556365964316;-0.78;3.69;8.62
1556365964328;-0.77;3.44;8.81
1556365964335;-0.68;3.25;9.07
1556365964347;-0.52;3.11;9.33
1556365964362;-0.29;2.96;9.59
1556365964365;-0.10;2.77;10.37
1556365964379;0.02;2.61;9.94
1556365964385;0.13;2.62;10.03
1556365964397;0.26;2.51;10.06
1556365964413;0.27;2.43;10.07
1556365964415;0.15;2.39;10.08
